row_id,namespace,image_tag,privileged_mode,run_as_root,host_network,allow_privilege_escalation,has_resource_limits,has_liveness_probe,read_only_fs,is_vulnerable
1,staging,redis:6-alpine,true,true,false,true,true,false,false,1
2,kube-system,my-app:v1.2.3,false,true,false,false,true,true,true,1
3,kube-system,nginx:latest,false,false,true,true,true,false,true,1
4,dev,my-app:v1.2.3,true,false,false,true,false,true,true,1
5,production,nginx:latest,true,false,false,false,true,true,false,1
6,production,alpine:3.12,true,false,true,false,false,false,false,1
7,staging,nginx:latest,true,false,false,true,false,false,true,1
8,production,redis:6-alpine,false,false,false,false,true,true,true,0
9,default,alpine:3.12,true,false,false,true,true,true,true,1
10,dev,my-app:v1.2.3,false,false,false,false,true,true,true,0
11,staging,alpine:3.12,true,false,false,false,true,false,false,1
12,staging,redis:6-alpine,true,true,true,true,false,false,true,1
13,default,ubuntu:20.04,true,true,true,false,false,false,true,1
14,production,ubuntu:20.04,true,true,false,true,false,false,true,1
15,kube-system,ubuntu:20.04,false,false,true,true,false,false,true,1
16,production,redis:6-alpine,true,false,true,false,true,false,false,1
17,dev,alpine:3.12,false,false,false,true,true,false,true,0
18,staging,my-app:v1.2.3,false,true,true,false,false,true,false,1
19,production,ubuntu:20.04,true,false,false,true,false,false,true,1
20,staging,redis:6-alpine,false,false,false,true,true,true,false,0
21,dev,my-app:v1.2.3,false,false,true,true,false,true,true,1
22,dev,ubuntu:20.04,false,true,false,true,false,false,false,1
23,staging,redis:6-alpine,false,false,false,false,true,false,true,0
24,default,alpine:3.12,false,false,false,true,true,true,false,0
25,default,my-app:v1.2.3,false,true,false,true,true,true,false,1
26,kube-system,nginx:latest,false,true,true,false,false,true,false,1
27,kube-system,redis:6-alpine,false,true,false,true,false,false,true,1
28,staging,alpine:3.12,false,false,false,false,true,false,false,0
29,kube-system,my-app:v1.2.3,false,false,true,true,true,true,true,1
30,production,nginx:latest,true,true,false,false,false,false,false,1
31,staging,my-app:v1.2.3,true,true,true,false,true,false,true,1
32,dev,ubuntu:20.04,true,false,false,true,true,false,false,1
33,staging,redis:6-alpine,false,true,true,true,false,false,false,1
34,dev,redis:6-alpine,true,false,true,true,true,false,true,1
35,production,my-app:v1.2.3,false,false,false,false,false,false,true,0
36,staging,ubuntu:20.04,true,true,true,false,false,false,true,1
